order_id,customer_id,order_date,ordered_at,status,amount_usd
1001,1,2024-01-15,2024-01-15 08:30:00,completed,150.75
1002,2,2024-01-17,2024-01-17 09:15:30,completed,99.99
1003,1,2024-02-01,2024-02-01 12:00:00,completed,25.50
1004,3,2024-02-05,2024-02-05 14:45:10,completed,300.00
1005,2,2024-02-20,2024-02-20 10:05:00,returned,85.20
1006,1,2024-03-10,2024-03-10 11:20:00,shipped,120.00
1007,3,2024-03-12,2024-03-12 18:00:00,completed,45.10
1008,2,2024-03-15,2024-03-15 20:10:05,completed,
1009,1,2024-03-20,2024-03-20 09:00:00,completed,50.00
1010,2,2024-03-21,2024-03-21 16:50:00,shipped,75.25
